Key;English;;;;;;;;;;;;;
MULTI_SEL_DESC;[SUB_A7]G쉬프트+마우스 좌클릭[SUB_A7]W으로 여러 부대를 선택합니다;;;;;;;;;;;;;
SM_DETAILS;세부사항;;;;;;;;;;;;;
DISBAND_ALL;선택 부대 해산;;;;;;;;;;;;;
DISBAND_ALL_TITLE;전체 부대 해산;;;;;;;;;;;;;
DISBAND_ALL_DESC;[SUB_A7]Y$NUM$[SUB_A7]W개 부대를 [SUB_A7]R해산[SUB_A7]W합니다.;;;;;;;;;;;;;
DATE_DIFF_A;$Y$년 $M$개월 $D$일;;;;;;;;;;;;;
DATE_DIFF_B;$M$개월 $D$일;;;;;;;;;;;;;
DATE_DIFF_C;$D$일;;;;;;;;;;;;;
torpedo_attacks;뇌격;;;;;;;;;;;;;
TORPEDO_ATTACK;뇌격;;;;;;;;;;;;;
TORPEDO_ATTACK_DESC;뇌격은 더 큰 군함에게 추가 피해를 입힙니다.;;;;;;;;;;;;;
NAVAL_COMBAT_STACK_PENALTY_DESC;함대의 통신 불량으로 인한 합동력 불이익: [SUB_A7]R$PEN$%[SUB_A7]Y\n목표물 탐색이 더욱 어려워집니다. 아군 군함 및 잠재적 목표의 수량에 영향을 받습니다.;;;;;;;;;;;;;
BP_TAB_CURRENT;현재 전투계획;;;;;;;;;;;;;
BP_TAB_HISTORICAL;역사적 전투계획;;;;;;;;;;;;;
BP_TOOL_COLOR_RED;빨간색;;;;;;;;;;;;;
BP_TOOL_COLOR_GREEN;초록색;;;;;;;;;;;;;
BP_TOOL_COLOR_BLUE;파란색;;;;;;;;;;;;;
BP_TOOL_COLOR_YELLOW;노란색;;;;;;;;;;;;;
BP_TOOL_ARROW_SLIM;얇은 화살표;;;;;;;;;;;;;
BP_TOOL_ARROW_MEDIUM_1;중간 화살표 1;;;;;;;;;;;;;
BP_TOOL_ARROW_MEDIUM_2;중간 화살표 2;;;;;;;;;;;;;
BP_TOOL_ARROW_MEDIUM_3;중간 화살표 3;;;;;;;;;;;;;
BP_TOOL_ARROW_THICK;굵은 화살표;;;;;;;;;;;;;
BP_TOOL_BORDER_1;테두리 1;;;;;;;;;;;;;
BP_TOOL_BORDER_2;테두리 2;;;;;;;;;;;;;
BP_TOOL_BORDER_3;테두리 3;;;;;;;;;;;;;
BP_TOOL_BORDER_4;테두리 4;;;;;;;;;;;;;
BP_TOOL_BORDER_5;테두리 5;;;;;;;;;;;;;
BP_TOOL_ICON_AIRPLANE;항공기;;;;;;;;;;;;;
BP_TOOL_ICON_TANK;전차;;;;;;;;;;;;;
BP_TOOL_ICON_BOMB_1;소형 폭탄;;;;;;;;;;;;;
BP_TOOL_ICON_BOMB_2;대형 폭탄;;;;;;;;;;;;;
BP_SAVE_PLAN_CONFIRM;계획 저장;;;;;;;;;;;;;
BP_SAVE_PLAN_CANCEL;취소;;;;;;;;;;;;;
BP_SAVE_PLAN_PROMPT;전투계획이 이미 존재합니다!\n기존 전투계획에 덮어씁니다.;;;;;;;;;;;;;
