Key;English;;;;;;;;;;;;;
UNIT_BUILD_TIME_IW;$VAL$일 소요;;;;;;;;;;;;;
SUPPLY_OWNER;소유국:;;;;;;;;;;;;;
SUPPLY_ALLIED;동맹국:;;;;;;;;;;;;;
SUPPLY_ACCESS;군사통행권:;;;;;;;;;;;;;
SUPPLY_CONTROLLER;통제국:;;;;;;;;;;;;;
SUPPLY_CONTROLLER_ALLIANCE;통제국(동맹국):;;;;;;;;;;;;;
SUPPLY_SIEGE;포위:;;;;;;;;;;;;;
SUPPLY_CORE;영유권:;;;;;;;;;;;;;
fascist_uh;파쇼주의자는 사회개혁의 확대와 정치개혁의 철회를 지지하며, 여당이 파쇼주의가 아니면 모든 개혁을 저지합니다.;;;;;;;;;;;;;
reactionary_uh;반동주의자는 항상 정치개혁과 사회개혁을 모두 철회하려 합니다.;;;;;;;;;;;;;;
conservative_uh;보수주의자는 현상 유지를 선호합니다. 그러나 투쟁도가 높으면 개혁을 지지하기도 합니다.;;;;;;;;;;;;;;
socialist_uh;사회주의자는 사회개혁의 확대를 바랍니다. 그러나 투쟁도가 높으면 정치개혁을 지지하기도 합니다.;;;;;;;;;;;;;;
communist_uh;공산주의자는 사회개혁의 확대와 정치개혁의 철회를 바랍니다.;;;;;;;;;;;;;;
liberal_uh;자유주의자는 정치개혁의 확대를 바랍니다. 그러나 투쟁도가 높으면 사회개혁을 지지하기도 합니다.;;;;;;;;;;;;;;
anarcho_liberal_uh;아나르코자본주의자는 사회개혁의 철회를 바라며 어떠한 개혁도 지지하지 않습니다.;;;;;;;;;;;;;;
RP_ACCUMULATED;사용하지 않은 연구점을 [SUB_A7]Y$VAL$[SUB_A7]W 축적했습니다.;;;;;;;;;;;;;
WEGAINCB_SETUP;우리나라가 전쟁명분을 획득했을 때;;;;;;;;;;;;;
WEGAINCB_HEADER;$MONARCHTITLE$;;;;;;;;;;;;;
WEGAINCB_1;전쟁명분;;;;;;;;;;;;;
WEGAINCB_2;$ENEMY$에 대해;;;;;;;;;;;;;
WEGAINCB_3;'$CASUS$';;;;;;;;;;;;;
WEGAINCB_4;전쟁명분을;;;;;;;;;;;;;
WEGAINCB_5;획득했습니다.;;;;;;;;;;;;;
WEGAINCB_6;$DESC$;;;;;;;;;;;;;
WEGAINCB_LOG;우리나라가 $ENEMY$에 대해 '$CASUS$' 전쟁명분을 얻었습니다.;;;;;;;;;;;;;
WEGAINCB_BTN1;확인;;;;;;;;;;;;;
WEGAINCB_BTN2;확인;;;;;;;;;;;;;
WEGAINCB_BTN3;참조;;;;;;;;;;;;;
WEGAINCB_MAP;*;;;;;;;;;;;;;
NORMAL_WAR_FREE_NAME;$ORDER$$COUNTRY$ 해방 전쟁;;;;;;;;;;;;;
AGRESSION_WAR_FREE_NAME;$ORDER$$COUNTRY$ 지원 전쟁;;;;;;;;;;;;;;
NORMAL_WAR_COLONIAL_NAME;$ORDER$$STATE$ 식민지 정복 전쟁;;;;;;;;;;;;;
