Key;English;;;;;;;;;;;;;
MIL_FROM_TROOPS;병사 및 육군;;;;;;;;;;;;;
MIL_FROM_CAP_SHIPS;주력함;;;;;;;;;;;;;
MIL_FROM_LEADERS;지휘관;;;;;;;;;;;;;
OCCUPATION_SCORE;점령: ;;;;;;;;;;;;;
BLOCKADE_SCORE;봉쇄: ;;;;;;;;;;;;;
OUTLINER_TOOLTIP_EMPLOYED;공장이 노동자를 [SUB_A7]Y$COUNT$[SUB_A7]W명 고용했습니다. (전체의 [SUB_A7]Y$PERC$[SUB_A7]W%);;;;;;;;;;;;;
TRADE_SUPPLY_NEED_A;매일마다 육군에게 $VAL$ 보급합니다.\n;;;;;;;;;;;;;
TRADE_SUPPLY_NEED_N;매일마다 해군에게 $VAL$ 보급합니다.\n;;;;;;;;;;;;;
DIPLOMACY_CANNOT_SET_PRIO_WAR;해당 국가와 교전하고 있으므로 영향력을 투사할 수 없습니다.;;;;;;;;;;;;;
DIPLOMACY_INFLUENCE_NOT_WORTH;해당 국가에 대한 영향력은 이미 최대치이며, 다른 국가는 영향력을 투사하고 있지 않습니다. 따라서 지금은 영향력이 축적되지 않습니다.;;;;;;;;;;;;;
COLONY_ABORT_HEADER;식민부 보고;;;;;;;;;;;;;
COLONY_ABORT_1;식민화 중단!;;;;;;;;;;;;;
COLONY_ABORT_2;$MONARCHTITLE$, [SUB_A7]Y$TARGET$[SUB_A7]W 지방의;;;;;;;;;;;;;
COLONY_ABORT_3;우리 식민지가;;;;;;;;;;;;;
COLONY_ABORT_4;중단됐습니다!;;;;;;;;;;;;;
COLONY_ABORT_5;더는 $TARGET$ 지방을 식민화할 수 없습니다.;;;;;;;;;;;;;
COLONY_ABORT_6;*;;;;;;;;;;;;;
COLONY_ABORT_BTN1;확인;;;;;;;;;;;;;
COLONY_ABORT_BTN2;확인;;;;;;;;;;;;;
COLONY_ABORT_BTN3;참조;;;;;;;;;;;;;
COLONY_ABORT_MAP;식민화 중단!;;;;;;;;;;;;;
COLONY_ABORT_SETUP;우리나라의 식민화가 중단됐을 때;;;;;;;;;;;;;
COLONY_ABORT_LOG;$TARGET$ 지방의 식민화가 중단됐습니다.;;;;;;;;;;;;;
DIPRELCH_VALID_CB;유효한 전쟁명분;;;;;;;;;;;;;
BRIGADES_COMPARE_GREATER; 양국의 보유 여단 비교값 ≥ [SUB_A7]Y$VAL$[SUB_A7]W\n;;;;;;;;;;;;;
BRIGADES_COMPARE_SMALLER; 양국의 보유 여단 비교값 < [SUB_A7]Y$VAL$[SUB_A7]W\n;;;;;;;;;;;;;
CONFIRM_CREATE_STATE_DESC2;(모든 지역 효과가 사라집니다);;;;;;;;;;;;;
UNIT_ENABLE_REBEL_HUNT;반군 소탕;;;;;;;;;;;;;
UNIT_DISABLE_REBEL_HUNT;(반군 소탕 중);;;;;;;;;;;;;
UNIT_REBEL_HUNT_WILL_HUNT;[SUB_A7]G반군 소탕을 준비하고 있습니다.[SUB_A7]W;;;;;;;;;;;;;
UNIT_REBEL_HUNT_IS_BUSY;[SUB_A7]R너무 바빠 당장 반군을 소탕할 수 없습니다.[SUB_A7]W;;;;;;;;;;;;;
UNIT_REBEL_HUNT_LOW_MORALE;[SUB_A7]R사기가 너무 낮아 당장 반군을 소탕할 수 없습니다.[SUB_A7]W;;;;;;;;;;;;;
